Time resolution is 1 ps
in_group_idx=1023, di_en=0, do_en=0, out_group_idx=   x
in_group_idx=1023, di_en=0, do_en=0, out_group_idx=   x
in_group_idx=   0, di_en=1, do_en=0, out_group_idx=1023
in_group_idx=   1, di_en=1, do_en=1, out_group_idx=   0
in_group_idx=   2, di_en=1, do_en=1, out_group_idx= 512
in_group_idx=   3, di_en=1, do_en=1, out_group_idx= 256
in_group_idx=   4, di_en=1, do_en=1, out_group_idx= 768
in_group_idx=   5, di_en=1, do_en=1, out_group_idx= 128
in_group_idx=   6, di_en=1, do_en=1, out_group_idx= 640
in_group_idx=   7, di_en=1, do_en=1, out_group_idx= 384
in_group_idx=   8, di_en=1, do_en=1, out_group_idx= 896
in_group_idx=   9, di_en=1, do_en=1, out_group_idx=  64
in_group_idx=  10, di_en=1, do_en=1, out_group_idx= 576
in_group_idx=  11, di_en=1, do_en=1, out_group_idx= 320
in_group_idx=  12, di_en=1, do_en=1, out_group_idx= 832
in_group_idx=  13, di_en=1, do_en=1, out_group_idx= 192
in_group_idx=  14, di_en=1, do_en=1, out_group_idx= 704
in_group_idx=  15, di_en=1, do_en=1, out_group_idx= 448
in_group_idx=  16, di_en=1, do_en=1, out_group_idx= 960
in_group_idx=  17, di_en=1, do_en=1, out_group_idx=  32
in_group_idx=  18, di_en=1, do_en=1, out_group_idx= 544
in_group_idx=  19, di_en=1, do_en=1, out_group_idx= 288
in_group_idx=  20, di_en=1, do_en=1, out_group_idx= 800
in_group_idx=  21, di_en=1, do_en=1, out_group_idx= 160
in_group_idx=  22, di_en=1, do_en=1, out_group_idx= 672
in_group_idx=  23, di_en=1, do_en=1, out_group_idx= 416
in_group_idx=  24, di_en=1, do_en=1, out_group_idx= 928
in_group_idx=  25, di_en=1, do_en=1, out_group_idx=  96
in_group_idx=  26, di_en=1, do_en=1, out_group_idx= 608
in_group_idx=  27, di_en=1, do_en=1, out_group_idx= 352
in_group_idx=  28, di_en=1, do_en=1, out_group_idx= 864
in_group_idx=  29, di_en=1, do_en=1, out_group_idx= 224
in_group_idx=  30, di_en=1, do_en=1, out_group_idx= 736
in_group_idx=  31, di_en=1, do_en=1, out_group_idx= 480
in_group_idx=  32, di_en=1, do_en=1, out_group_idx= 992
in_group_idx=  33, di_en=1, do_en=1, out_group_idx=  16
in_group_idx=  34, di_en=1, do_en=1, out_group_idx= 528
in_group_idx=  35, di_en=1, do_en=1, out_group_idx= 272
in_group_idx=  36, di_en=1, do_en=1, out_group_idx= 784
in_group_idx=  37, di_en=1, do_en=1, out_group_idx= 144
in_group_idx=  38, di_en=1, do_en=1, out_group_idx= 656
in_group_idx=  39, di_en=1, do_en=1, out_group_idx= 400
in_group_idx=  40, di_en=1, do_en=1, out_group_idx= 912
in_group_idx=  41, di_en=1, do_en=1, out_group_idx=  80
in_group_idx=  42, di_en=1, do_en=1, out_group_idx= 592
in_group_idx=  43, di_en=1, do_en=1, out_group_idx= 336
in_group_idx=  44, di_en=1, do_en=1, out_group_idx= 848
in_group_idx=  45, di_en=1, do_en=1, out_group_idx= 208
in_group_idx=  46, di_en=1, do_en=1, out_group_idx= 720
in_group_idx=  47, di_en=1, do_en=1, out_group_idx= 464
in_group_idx=  48, di_en=1, do_en=1, out_group_idx= 976
in_group_idx=  49, di_en=1, do_en=1, out_group_idx=  48
in_group_idx=  50, di_en=1, do_en=1, out_group_idx= 560
in_group_idx=  51, di_en=1, do_en=1, out_group_idx= 304
in_group_idx=  52, di_en=1, do_en=1, out_group_idx= 816
in_group_idx=  53, di_en=1, do_en=1, out_group_idx= 176
in_group_idx=  54, di_en=1, do_en=1, out_group_idx= 688
in_group_idx=  55, di_en=1, do_en=1, out_group_idx= 432
in_group_idx=  56, di_en=1, do_en=1, out_group_idx= 944
in_group_idx=  57, di_en=1, do_en=1, out_group_idx= 112
in_group_idx=  58, di_en=1, do_en=1, out_group_idx= 624
in_group_idx=  59, di_en=1, do_en=1, out_group_idx= 368
in_group_idx=  60, di_en=1, do_en=1, out_group_idx= 880
in_group_idx=  61, di_en=1, do_en=1, out_group_idx= 240
in_group_idx=  62, di_en=1, do_en=1, out_group_idx= 752
in_group_idx=  63, di_en=1, do_en=1, out_group_idx= 496
in_group_idx=  64, di_en=1, do_en=1, out_group_idx=1008
in_group_idx=  65, di_en=1, do_en=1, out_group_idx=   8
in_group_idx=  66, di_en=1, do_en=1, out_group_idx= 520
in_group_idx=  67, di_en=1, do_en=1, out_group_idx= 264
in_group_idx=  68, di_en=1, do_en=1, out_group_idx= 776
in_group_idx=  69, di_en=1, do_en=1, out_group_idx= 136
in_group_idx=  70, di_en=1, do_en=1, out_group_idx= 648
in_group_idx=  71, di_en=1, do_en=1, out_group_idx= 392
in_group_idx=  72, di_en=1, do_en=1, out_group_idx= 904
in_group_idx=  73, di_en=1, do_en=1, out_group_idx=  72
in_group_idx=  74, di_en=1, do_en=1, out_group_idx= 584
in_group_idx=  75, di_en=1, do_en=1, out_group_idx= 328
in_group_idx=  76, di_en=1, do_en=1, out_group_idx= 840
in_group_idx=  77, di_en=1, do_en=1, out_group_idx= 200
in_group_idx=  78, di_en=1, do_en=1, out_group_idx= 712
in_group_idx=  79, di_en=1, do_en=1, out_group_idx= 456
in_group_idx=  80, di_en=1, do_en=1, out_group_idx= 968
in_group_idx=  81, di_en=1, do_en=1, out_group_idx=  40
in_group_idx=  82, di_en=1, do_en=1, out_group_idx= 552
in_group_idx=  83, di_en=1, do_en=1, out_group_idx= 296
in_group_idx=  84, di_en=1, do_en=1, out_group_idx= 808
in_group_idx=  85, di_en=1, do_en=1, out_group_idx= 168
in_group_idx=  86, di_en=1, do_en=1, out_group_idx= 680
in_group_idx=  87, di_en=1, do_en=1, out_group_idx= 424
in_group_idx=  88, di_en=1, do_en=1, out_group_idx= 936
in_group_idx=  89, di_en=1, do_en=1, out_group_idx= 104
in_group_idx=  90, di_en=1, do_en=1, out_group_idx= 616
in_group_idx=  91, di_en=1, do_en=1, out_group_idx= 360
in_group_idx=  92, di_en=1, do_en=1, out_group_idx= 872
in_group_idx=  93, di_en=1, do_en=1, out_group_idx= 232
in_group_idx=  94, di_en=1, do_en=1, out_group_idx= 744
in_group_idx=  95, di_en=1, do_en=1, out_group_idx= 488
in_group_idx=  96, di_en=1, do_en=1, out_group_idx=1000
in_group_idx=  97, di_en=1, do_en=1, out_group_idx=  24
in_group_idx=  98, di_en=1, do_en=1, out_group_idx= 536
in_group_idx=  99, di_en=1, do_en=1, out_group_idx= 280
in_group_idx= 100, di_en=1, do_en=1, out_group_idx= 792
in_group_idx= 101, di_en=1, do_en=1, out_group_idx= 152
in_group_idx= 102, di_en=1, do_en=1, out_group_idx= 664
in_group_idx= 103, di_en=1, do_en=1, out_group_idx= 408
in_group_idx= 104, di_en=1, do_en=1, out_group_idx= 920
in_group_idx= 105, di_en=1, do_en=1, out_group_idx=  88
in_group_idx= 106, di_en=1, do_en=1, out_group_idx= 600
in_group_idx= 107, di_en=1, do_en=1, out_group_idx= 344
in_group_idx= 108, di_en=1, do_en=1, out_group_idx= 856
in_group_idx= 109, di_en=1, do_en=1, out_group_idx= 216
in_group_idx= 110, di_en=1, do_en=1, out_group_idx= 728
in_group_idx= 111, di_en=1, do_en=1, out_group_idx= 472
in_group_idx= 112, di_en=1, do_en=1, out_group_idx= 984
in_group_idx= 113, di_en=1, do_en=1, out_group_idx=  56
in_group_idx= 114, di_en=1, do_en=1, out_group_idx= 568
in_group_idx= 115, di_en=1, do_en=1, out_group_idx= 312
in_group_idx= 116, di_en=1, do_en=1, out_group_idx= 824
in_group_idx= 117, di_en=1, do_en=1, out_group_idx= 184
in_group_idx= 118, di_en=1, do_en=1, out_group_idx= 696
in_group_idx= 119, di_en=1, do_en=1, out_group_idx= 440
in_group_idx= 120, di_en=1, do_en=1, out_group_idx= 952
in_group_idx= 121, di_en=1, do_en=1, out_group_idx= 120
in_group_idx= 122, di_en=1, do_en=1, out_group_idx= 632
in_group_idx= 123, di_en=1, do_en=1, out_group_idx= 376
in_group_idx= 124, di_en=1, do_en=1, out_group_idx= 888
in_group_idx= 125, di_en=1, do_en=1, out_group_idx= 248
in_group_idx= 126, di_en=1, do_en=1, out_group_idx= 760
in_group_idx= 127, di_en=1, do_en=1, out_group_idx= 504
in_group_idx= 128, di_en=1, do_en=1, out_group_idx=1016
in_group_idx= 129, di_en=1, do_en=1, out_group_idx=   4
in_group_idx= 130, di_en=1, do_en=1, out_group_idx= 516
in_group_idx= 131, di_en=1, do_en=1, out_group_idx= 260
in_group_idx= 132, di_en=1, do_en=1, out_group_idx= 772
in_group_idx= 133, di_en=1, do_en=1, out_group_idx= 132
in_group_idx= 134, di_en=1, do_en=1, out_group_idx= 644
in_group_idx= 135, di_en=1, do_en=1, out_group_idx= 388
in_group_idx= 136, di_en=1, do_en=1, out_group_idx= 900
in_group_idx= 137, di_en=1, do_en=1, out_group_idx=  68
in_group_idx= 138, di_en=1, do_en=1, out_group_idx= 580
in_group_idx= 139, di_en=1, do_en=1, out_group_idx= 324
in_group_idx= 140, di_en=1, do_en=1, out_group_idx= 836
in_group_idx= 141, di_en=1, do_en=1, out_group_idx= 196
in_group_idx= 142, di_en=1, do_en=1, out_group_idx= 708
in_group_idx= 143, di_en=1, do_en=1, out_group_idx= 452
in_group_idx= 144, di_en=1, do_en=1, out_group_idx= 964
in_group_idx= 145, di_en=1, do_en=1, out_group_idx=  36
in_group_idx= 146, di_en=1, do_en=1, out_group_idx= 548
in_group_idx= 147, di_en=1, do_en=1, out_group_idx= 292
in_group_idx= 148, di_en=1, do_en=1, out_group_idx= 804
in_group_idx= 149, di_en=1, do_en=1, out_group_idx= 164
in_group_idx= 150, di_en=1, do_en=1, out_group_idx= 676
in_group_idx= 151, di_en=1, do_en=1, out_group_idx= 420
in_group_idx= 152, di_en=1, do_en=1, out_group_idx= 932
in_group_idx= 153, di_en=1, do_en=1, out_group_idx= 100
in_group_idx= 154, di_en=1, do_en=1, out_group_idx= 612
in_group_idx= 155, di_en=1, do_en=1, out_group_idx= 356
in_group_idx= 156, di_en=1, do_en=1, out_group_idx= 868
in_group_idx= 157, di_en=1, do_en=1, out_group_idx= 228
in_group_idx= 158, di_en=1, do_en=1, out_group_idx= 740
in_group_idx= 159, di_en=1, do_en=1, out_group_idx= 484
in_group_idx= 160, di_en=1, do_en=1, out_group_idx= 996
in_group_idx= 161, di_en=1, do_en=1, out_group_idx=  20
in_group_idx= 162, di_en=1, do_en=1, out_group_idx= 532
in_group_idx= 163, di_en=1, do_en=1, out_group_idx= 276
in_group_idx= 164, di_en=1, do_en=1, out_group_idx= 788
in_group_idx= 165, di_en=1, do_en=1, out_group_idx= 148
in_group_idx= 166, di_en=1, do_en=1, out_group_idx= 660
in_group_idx= 167, di_en=1, do_en=1, out_group_idx= 404
in_group_idx= 168, di_en=1, do_en=1, out_group_idx= 916
in_group_idx= 169, di_en=1, do_en=1, out_group_idx=  84
in_group_idx= 170, di_en=1, do_en=1, out_group_idx= 596
in_group_idx= 171, di_en=1, do_en=1, out_group_idx= 340
