Time resolution is 1 ps
di_en=0, in=    0, do_en=0, out=    x, num=16383
di_en=1, in=    1, do_en=0, out=    x, num=16383
di_en=1, in=    2, do_en=1, out=    1, num=    0
di_en=1, in=    3, do_en=1, out=    2, num=    1
di_en=1, in=    4, do_en=1, out=    3, num=    2
di_en=1, in=    5, do_en=1, out=    4, num=    3
di_en=1, in=    6, do_en=1, out=    5, num=    4
di_en=1, in=    7, do_en=1, out=    6, num=    5
di_en=1, in=    8, do_en=1, out=    7, num=    6
di_en=1, in=    9, do_en=1, out=    8, num=    7
di_en=1, in=   10, do_en=1, out=    9, num=    8
di_en=1, in=   11, do_en=1, out=   10, num=    9
di_en=1, in=   12, do_en=1, out=   11, num=   10
di_en=1, in=   13, do_en=1, out=   12, num=   11
di_en=1, in=   14, do_en=1, out=   13, num=   12
di_en=1, in=   15, do_en=1, out=   14, num=   13
di_en=1, in=   16, do_en=1, out=   15, num=   14
di_en=1, in=   17, do_en=1, out=   16, num=   15
di_en=1, in=   18, do_en=1, out=   17, num=   16
di_en=1, in=   19, do_en=1, out=   18, num=   17
di_en=1, in=   20, do_en=1, out=   19, num=   18
di_en=1, in=   21, do_en=1, out=   20, num=   19
di_en=1, in=   22, do_en=1, out=   21, num=   20
di_en=1, in=   23, do_en=1, out=   22, num=   21
di_en=1, in=   24, do_en=1, out=   23, num=   22
di_en=1, in=   25, do_en=1, out=   24, num=   23
di_en=1, in=   26, do_en=1, out=   25, num=   24
di_en=1, in=   27, do_en=1, out=   26, num=   25
di_en=1, in=   28, do_en=1, out=   27, num=   26
di_en=1, in=   29, do_en=1, out=   28, num=   27
di_en=1, in=   30, do_en=1, out=   29, num=   28
di_en=1, in=   31, do_en=1, out=   30, num=   29
di_en=1, in=   32, do_en=1, out=   31, num=   30
di_en=1, in=   33, do_en=1, out=   32, num=   31
di_en=1, in=   34, do_en=1, out=   33, num=   32
di_en=1, in=   35, do_en=1, out=   34, num=   33
di_en=1, in=   36, do_en=1, out=   35, num=   34
di_en=1, in=   37, do_en=1, out=   36, num=   35
di_en=1, in=   38, do_en=1, out=   37, num=   36
di_en=1, in=   39, do_en=1, out=   38, num=   37
di_en=1, in=   40, do_en=1, out=   39, num=   38
di_en=1, in=   41, do_en=1, out=   40, num=   39
di_en=1, in=   42, do_en=1, out=   41, num=   40
di_en=1, in=   43, do_en=1, out=   42, num=   41
di_en=1, in=   44, do_en=1, out=   43, num=   42
