Time resolution is 1 ps
a=          x, di_en=x, do_en=x, data_i=xxxxxxxxxxxxxx, data_o=x
a=          0, di_en=0, do_en=0, data_i=xxxxxxxxxxxxxx, data_o=0
a=          1, di_en=0, do_en=0, data_i=xxxxxxxxxxxxxx, data_o=0
a=          2, di_en=0, do_en=0, data_i=xxxxxxxxxxxxxx, data_o=0
a=          3, di_en=0, do_en=0, data_i=xxxxxxxxxxxxxx, data_o=0
a=          4, di_en=0, do_en=0, data_i=xxxxxxxxxxxxxx, data_o=0
a=          5, di_en=0, do_en=0, data_i=xxxxxxxxxxxxxx, data_o=0
a=          6, di_en=0, do_en=0, data_i=xxxxxxxxxxxxxx, data_o=0
a=          7, di_en=0, do_en=0, data_i=xxxxxxxxxxxxxx, data_o=0
a=          8, di_en=0, do_en=0, data_i=xxxxxxxxxxxxxx, data_o=0
a=          9, di_en=0, do_en=0, data_i=xxxxxxxxxxxxxx, data_o=0
a=         10, di_en=1, do_en=0, data_i=01000000000000, data_o=0
a=         11, di_en=1, do_en=0, data_i=00111111100000, data_o=0
a=         12, di_en=1, do_en=0, data_i=00111111100000, data_o=0
a=         13, di_en=1, do_en=0, data_i=00111111100000, data_o=0
a=         14, di_en=1, do_en=0, data_i=00111111100000, data_o=0
a=         15, di_en=1, do_en=0, data_i=00111111100000, data_o=0
a=         16, di_en=1, do_en=0, data_i=00111111100000, data_o=0
a=         17, di_en=1, do_en=0, data_i=00111111100000, data_o=0
a=         18, di_en=1, do_en=0, data_i=00111111100000, data_o=0
a=         19, di_en=1, do_en=0, data_i=00111111100000, data_o=0
a=         20, di_en=1, do_en=0, data_i=00111111100000, data_o=0
a=         21, di_en=1, do_en=0, data_i=00111111100000, data_o=0
a=         22, di_en=1, do_en=0, data_i=00111111100000, data_o=0
a=         23, di_en=1, do_en=0, data_i=00111111100000, data_o=0
a=         24, di_en=1, do_en=0, data_i=00111111100000, data_o=0
a=         25, di_en=1, do_en=0, data_i=00111111100000, data_o=0
a=         26, di_en=1, do_en=0, data_i=00111111100000, data_o=0
a=         27, di_en=1, do_en=0, data_i=00111111100000, data_o=0
a=         28, di_en=1, do_en=0, data_i=00111111100000, data_o=0
a=         29, di_en=1, do_en=0, data_i=00111111100000, data_o=0
a=         30, di_en=1, do_en=0, data_i=00111111100000, data_o=0
a=         31, di_en=1, do_en=0, data_i=00111111000000, data_o=0
a=         32, di_en=1, do_en=0, data_i=00111111000000, data_o=0
a=         33, di_en=1, do_en=0, data_i=00111111000000, data_o=0
a=         34, di_en=1, do_en=0, data_i=00111111000000, data_o=0
a=         35, di_en=1, do_en=0, data_i=00111111000000, data_o=0
a=         36, di_en=1, do_en=0, data_i=00111111000000, data_o=0
a=         37, di_en=1, do_en=0, data_i=00111111000000, data_o=0
a=         38, di_en=1, do_en=0, data_i=00111111000000, data_o=0
a=         39, di_en=1, do_en=0, data_i=00111110100000, data_o=0
a=         40, di_en=1, do_en=0, data_i=00111110100000, data_o=0
a=         41, di_en=1, do_en=0, data_i=00111110100000, data_o=0
a=         42, di_en=1, do_en=0, data_i=00111110100000, data_o=0
a=         43, di_en=1, do_en=0, data_i=00111110100000, data_o=0
a=         44, di_en=1, do_en=0, data_i=00111110100000, data_o=0
a=         45, di_en=1, do_en=0, data_i=00111110100000, data_o=0
