Time resolution is 1 ps
di_en=0, in_num=16383, out_num=131071, data_i=    -1, data_o=     0
di_en=1, in_num=    0, out_num=131071, data_i=     0, data_o=     0
di_en=1, in_num=    1, out_num=     0, data_i=     1, data_o=     0
di_en=1, in_num=    2, out_num=     1, data_i=     2, data_o=     1
di_en=1, in_num=    3, out_num=     2, data_i=     3, data_o=     2
di_en=1, in_num=    4, out_num=     3, data_i=     4, data_o=     3
di_en=1, in_num=    5, out_num=     4, data_i=     5, data_o=     4
di_en=1, in_num=    6, out_num=     5, data_i=     6, data_o=     5
di_en=1, in_num=    7, out_num=     6, data_i=     7, data_o=     6
di_en=1, in_num=    8, out_num=     7, data_i=     8, data_o=     7
di_en=1, in_num=    9, out_num=     8, data_i=     9, data_o=     8
di_en=1, in_num=   10, out_num=     9, data_i=    10, data_o=     9
di_en=1, in_num=   11, out_num=    10, data_i=    11, data_o=    10
di_en=1, in_num=   12, out_num=    11, data_i=    12, data_o=    11
di_en=1, in_num=   13, out_num=    12, data_i=    13, data_o=    12
di_en=1, in_num=   14, out_num=    13, data_i=    14, data_o=    13
di_en=1, in_num=   15, out_num=    14, data_i=    15, data_o=    14
di_en=1, in_num=   16, out_num=    15, data_i=    16, data_o=    15
di_en=1, in_num=   17, out_num=    16, data_i=    17, data_o=    16
di_en=1, in_num=   18, out_num=    17, data_i=    18, data_o=    17
di_en=1, in_num=   19, out_num=    18, data_i=    19, data_o=    18
di_en=1, in_num=   20, out_num=    19, data_i=    20, data_o=    19
di_en=1, in_num=   21, out_num=    20, data_i=    21, data_o=    20
di_en=1, in_num=   22, out_num=    21, data_i=    22, data_o=    21
di_en=1, in_num=   23, out_num=    22, data_i=    23, data_o=    22
di_en=1, in_num=   24, out_num=    23, data_i=    24, data_o=    23
di_en=1, in_num=   25, out_num=    24, data_i=    25, data_o=    24
di_en=1, in_num=   26, out_num=    25, data_i=    26, data_o=    25
di_en=1, in_num=   27, out_num=    26, data_i=    27, data_o=    26
di_en=1, in_num=   28, out_num=    27, data_i=    28, data_o=    27
di_en=1, in_num=   29, out_num=    28, data_i=    29, data_o=    28
di_en=1, in_num=   30, out_num=    29, data_i=    30, data_o=    29
di_en=1, in_num=   31, out_num=    30, data_i=    31, data_o=    30
di_en=1, in_num=   32, out_num=    31, data_i=    32, data_o=    31
di_en=1, in_num=   33, out_num=    32, data_i=    33, data_o=    32
di_en=1, in_num=   34, out_num=    33, data_i=    34, data_o=    33
di_en=1, in_num=   35, out_num=    34, data_i=    35, data_o=    34
di_en=1, in_num=   36, out_num=    35, data_i=    36, data_o=    35
di_en=1, in_num=   37, out_num=    36, data_i=    37, data_o=    36
di_en=1, in_num=   38, out_num=    37, data_i=    38, data_o=    37
di_en=1, in_num=   39, out_num=    38, data_i=    39, data_o=    38
di_en=1, in_num=   40, out_num=    39, data_i=    40, data_o=    39
di_en=1, in_num=   41, out_num=    40, data_i=    41, data_o=    40
di_en=1, in_num=   42, out_num=    41, data_i=    42, data_o=    41
di_en=1, in_num=   43, out_num=    42, data_i=    43, data_o=    42
di_en=1, in_num=   44, out_num=    43, data_i=    44, data_o=    43
di_en=1, in_num=   45, out_num=    44, data_i=    45, data_o=    44
di_en=1, in_num=   46, out_num=    45, data_i=    46, data_o=    45
di_en=1, in_num=   47, out_num=    46, data_i=    47, data_o=    46
di_en=1, in_num=   48, out_num=    47, data_i=    48, data_o=    47
di_en=1, in_num=   49, out_num=    48, data_i=    49, data_o=    48
di_en=1, in_num=   50, out_num=    49, data_i=    50, data_o=    49
di_en=1, in_num=   51, out_num=    50, data_i=    51, data_o=    50
di_en=1, in_num=   52, out_num=    51, data_i=    52, data_o=    51
di_en=1, in_num=   53, out_num=    52, data_i=    53, data_o=    52
di_en=1, in_num=   54, out_num=    53, data_i=    54, data_o=    53
di_en=1, in_num=   55, out_num=    54, data_i=    55, data_o=    54
di_en=1, in_num=   56, out_num=    55, data_i=    56, data_o=    55
di_en=1, in_num=   57, out_num=    56, data_i=    57, data_o=    56
di_en=1, in_num=   58, out_num=    57, data_i=    58, data_o=    57
di_en=1, in_num=   59, out_num=    58, data_i=    59, data_o=    58
di_en=1, in_num=   60, out_num=    59, data_i=    60, data_o=    59
di_en=1, in_num=   61, out_num=    60, data_i=    61, data_o=    60
di_en=1, in_num=   62, out_num=    61, data_i=    62, data_o=    61
di_en=1, in_num=   63, out_num=    62, data_i=    63, data_o=    62
di_en=1, in_num=   64, out_num=    63, data_i=    64, data_o=    63
di_en=1, in_num=   65, out_num=    64, data_i=    65, data_o=    64
di_en=1, in_num=   66, out_num=    65, data_i=    66, data_o=    65
di_en=1, in_num=   67, out_num=    66, data_i=    67, data_o=    66
di_en=1, in_num=   68, out_num=    67, data_i=    68, data_o=    67
di_en=1, in_num=   69, out_num=    68, data_i=    69, data_o=    68
di_en=1, in_num=   70, out_num=    69, data_i=    70, data_o=    69
di_en=1, in_num=   71, out_num=    70, data_i=    71, data_o=    70
