Time resolution is 1 ps
t_clk=          0, di_en=x, in=     x, do_en=x, out=     x, num=    x
t_clk=          0, di_en=0, in=    -1, do_en=0, out=     0, num=16383
t_clk=          1, di_en=1, in=     0, do_en=0, out=     0, num=16383
t_clk=          2, di_en=1, in=     1, do_en=1, out=     0, num=    0
t_clk=          3, di_en=1, in=     2, do_en=1, out=     1, num=    1
t_clk=          4, di_en=1, in=     3, do_en=1, out=     2, num=    2
t_clk=          5, di_en=1, in=     4, do_en=1, out=     3, num=    3
t_clk=          6, di_en=1, in=     5, do_en=1, out=     4, num=    4
t_clk=          7, di_en=1, in=     6, do_en=1, out=     5, num=    5
t_clk=          8, di_en=1, in=     7, do_en=1, out=     6, num=    6
t_clk=          9, di_en=1, in=     8, do_en=1, out=     7, num=    7
t_clk=         10, di_en=1, in=     9, do_en=1, out=     8, num=    8
t_clk=         11, di_en=1, in=    10, do_en=1, out=     9, num=    9
t_clk=         12, di_en=1, in=    11, do_en=1, out=    10, num=   10
t_clk=         13, di_en=1, in=    12, do_en=1, out=    11, num=   11
t_clk=         14, di_en=1, in=    13, do_en=1, out=    12, num=   12
t_clk=         15, di_en=1, in=    14, do_en=1, out=    13, num=   13
t_clk=         16, di_en=1, in=    15, do_en=1, out=    14, num=   14
t_clk=         17, di_en=1, in=    16, do_en=1, out=    15, num=   15
t_clk=         18, di_en=1, in=    17, do_en=1, out=    16, num=   16
t_clk=         19, di_en=1, in=    18, do_en=1, out=    17, num=   17
t_clk=         20, di_en=1, in=    19, do_en=1, out=    18, num=   18
t_clk=         21, di_en=1, in=    20, do_en=1, out=    19, num=   19
t_clk=         22, di_en=1, in=    21, do_en=1, out=    20, num=   20
t_clk=         23, di_en=1, in=    22, do_en=1, out=    21, num=   21
t_clk=         24, di_en=1, in=    23, do_en=1, out=    22, num=   22
t_clk=         25, di_en=1, in=    24, do_en=1, out=    23, num=   23
t_clk=         26, di_en=1, in=    25, do_en=1, out=    24, num=   24
t_clk=         27, di_en=1, in=    26, do_en=1, out=    25, num=   25
t_clk=         28, di_en=1, in=    27, do_en=1, out=    26, num=   26
t_clk=         29, di_en=1, in=    28, do_en=1, out=    27, num=   27
t_clk=         30, di_en=1, in=    29, do_en=1, out=    28, num=   28
t_clk=         31, di_en=1, in=    30, do_en=1, out=    29, num=   29
t_clk=         32, di_en=1, in=    31, do_en=1, out=    30, num=   30
t_clk=         33, di_en=1, in=    32, do_en=1, out=    31, num=   31
t_clk=         34, di_en=1, in=    33, do_en=1, out=    32, num=   32
t_clk=         35, di_en=1, in=    34, do_en=1, out=    33, num=   33
t_clk=         36, di_en=1, in=    35, do_en=1, out=    34, num=   34
t_clk=         37, di_en=1, in=    36, do_en=1, out=    35, num=   35
t_clk=         38, di_en=1, in=    37, do_en=1, out=    36, num=   36
t_clk=         39, di_en=1, in=    38, do_en=1, out=    37, num=   37
t_clk=         40, di_en=1, in=    39, do_en=1, out=    38, num=   38
t_clk=         41, di_en=1, in=    40, do_en=1, out=    39, num=   39
t_clk=         42, di_en=1, in=    41, do_en=1, out=    40, num=   40
t_clk=         43, di_en=1, in=    42, do_en=1, out=    41, num=   41
t_clk=         44, di_en=1, in=    43, do_en=1, out=    42, num=   42
t_clk=         45, di_en=1, in=    44, do_en=1, out=    43, num=   43
t_clk=         46, di_en=1, in=    45, do_en=1, out=    44, num=   44
t_clk=         47, di_en=1, in=    46, do_en=1, out=    45, num=   45
t_clk=         48, di_en=1, in=    47, do_en=1, out=    46, num=   46
t_clk=         49, di_en=1, in=    48, do_en=1, out=    47, num=   47
